_id,Ejercicio,Centro Gestor,Funcional,Economico,Financiacion,Descripcion,Credito inicial,Modificaciones,Credito Definitivo,Comprometido,Obligaciones Reconocidas,Pagado
1,2020,1010,1111,100000,91002,Retr.básicas de Alt.Cargo,"2.719.156,32",,"2.719.156,32","2.719.156,32","2.719.156,32","2.039.367,24"
2,2020,1010,1111,100001,91002,Otras remun. de Alt.Cargo,"349.222,02",,"349.222,02","349.222,02","349.222,02","261.916,51"
3,2020,1010,1111,100005,91002,Trienios,"49.686,88",,"49.686,88","49.686,88","49.686,88","37.265,16"
4,2020,1010,1111,110000,91002,Retr.básicas de P.Ev.Gab.,"88.352,64",,"88.352,64","88.352,64","88.352,64","66.264,48"
5,2020,1010,1111,110001,91002,Otras remun. de P.Ev.Gab.,"85.055,52",,"85.055,52","85.055,52","85.055,52","63.791,64"
6,2020,1010,1111,110005,91002,Trienios de P.Ev.Gab.,"6.582,00",,"6.582,00","6.582,00","6.582,00","4.936,50"
7,2020,1010,1111,110006,91002,Pagas extra. de P.Ev.Gab.,"29.998,36",,"29.998,36","29.998,36","29.998,36","22.498,77"
8,2020,1010,1111,120000,91002,Sueldos de Funcionarios,"1.688.308,66",,"1.688.308,66","1.688.308,66","1.688.308,66","1.266.231,49"
9,2020,1010,1111,120005,91002,Trienios de Funcionarios,"699.665,88",,"699.665,88","699.665,88","699.665,88","524.749,41"
10,2020,1010,1111,120006,91002,Pagas extras Funcionarios,"665.504,12",,"665.504,12","665.504,12","665.504,12","499.128,09"
11,2020,1010,1111,121000,91002,C. destino Funcionarios,"802.666,20",,"802.666,20","802.666,20","802.666,20","601.999,65"
12,2020,1010,1111,121001,91002,C. especif. Funcionarios,"928.335,35",,"928.335,35","928.335,35","928.335,35","696.251,51"
13,2020,1010,1111,121009,91002,Otras retr. compl. Func.,957,,957,957,957,"717,75"
14,2020,1010,1111,122002,91002,Otras ret. en especie,"94.800,00",,"94.800,00","94.800,00","94.800,00","71.100,00"
15,2020,1010,1111,130000,91002,Salario base Labor. Fijos,"117.228,60",,"117.228,60","117.228,60","117.228,60","87.921,45"
16,2020,1010,1111,130001,91002,Antigüedad Labor. Fijos,"30.090,60",,"30.090,60","30.090,60","30.090,60","22.567,95"
17,2020,1010,1111,130002,91002,Pagas extras Labor. Fijos,"38.248,32",,"38.248,32","38.248,32","38.248,32","28.686,24"
