_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D. Rec. Netos,Recaudado Neto
1,2013,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,1118938000,0,1118938000,1131268770,1131268770
2,2013,12500,100001,91003,Tarifa Autonómica del I.R.P.F. - Ejercicio 2009,0,0,0,-11797340.97,-11797340.97
3,2013,12500,100002,91003,Tarifa Autonómica del I.R.P.F. - Ejercicio 2011,0,0,0,-77759210.14,-77759210.14
4,2013,12500,110000,91003,Sobre adquisiciones por herencia o legado,152000000,0,152000000,0,0
5,2013,12500,110003,91003,Donaciones,11700000,0,11700000,0,0
6,2013,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,31000000,0,31000000,0,0
7,2013,12500,112000,91003,Sobre Grandes superficies,4700000,0,4700000,0,0
8,2013,12500,113000,91003,Sobre emisiones contaminantes,5800000,0,5800000,0,0
9,2013,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,103400000,0,103400000,0,0
10,2013,12500,200001,91003,Sobre Operaciones Societarias,11700000,0,11700000,0,0
11,2013,12500,200002,91003,Sobre Transmisiones de vehículos,2300000,0,2300000,0,0
12,2013,12500,201000,91003,Efectos timbrados y otros,43500000,0,43500000,0,0
13,2013,12500,201001,91003,Exceso letras de cambio,50000,0,50000,0,0
14,2013,12500,201002,91003,Reintegros a metálico,3500000,0,3500000,0,0
15,2013,12500,210001,91003,I.V.A. Sobre Operaciones Internas,874572000,0,874572000,900773790,900773790
16,2013,12500,210011,91003,Impuesto Valor Añadido - Ejercicio 2008,0,0,0,-5326657.96,-5326657.96
17,2013,12500,210012,91003,Impuesto Valor Añadido - Ejercicio 2009,0,0,0,-20749587.36,-20749587.36
18,2013,12500,210013,91003,Impuesto Valor Añadido - Ejercicio 2011,0,0,0,48912322.72,48912322.72
19,2013,12500,220000,91003,Sobre el alcohol y bebidas derivadas,13397000,0,13397000,13568460,13568460
20,2013,12500,220001,91003,Sobre Cerveza,4676000,0,4676000,4703780,4703780
21,2013,12500,220003,91003,Sobre labores de tabaco,134885000,0,134885000,134896100,134896100
22,2013,12500,220004,91003,S/ venta minorista de determinados hidrocarburos,37000000,0,37000000,0,0
23,2013,12500,220005,91003,Sobre determinados medios de transporte,11000000,0,11000000,0,0
24,2013,12500,220006,91003,Sobre productos intermedios,285000,0,285000,290200,290200
25,2013,12500,220007,91003,Sobre energía (electricidad),66010000,0,66010000,66005710,66005710
26,2013,12500,220008,91003,Sobre hidrocarburos,260870000,0,260870000,261746370,261746370
27,2013,12500,220010,91003,Sobre alcohol y bebidas derivadas - Ejercicio 2009,0,0,0,-166240.11,-166240.11
28,2013,12500,220011,91003,Sobre Cerveza - Ejercicio 2009,0,0,0,-21635.51,-21635.51
29,2013,12500,220013,91003,Sobre labores de tabaco - Ejercicio 2009,0,0,0,-14681.06,-14681.06
30,2013,12500,220016,91003,Sobre productos intermedios - Ejercicio 2009,0,0,0,-2715.23,-2715.23
31,2013,12500,220018,91003,Sobre hidrocarburos - Ejercicio 2009,0,0,0,-841842.94,-841842.94
32,2013,12500,220020,91003,Sobre alcohol y bebidas derivadas - Ejercicio 2011,0,0,0,-2055330.65,-2055330.65
33,2013,12500,220021,91003,Sobre Cerveza - Ejercicio 2011,0,0,0,-321331.71,-321331.71
34,2013,12500,220023,91003,Sobre labores de tabaco - Ejercicio 2011,0,0,0,-11116505.42,-11116505.42
35,2013,12500,220026,91003,Sobre productos intermedios - Ejercicio 2011,0,0,0,-48067.46,-48067.46
36,2013,12500,220027,91003,Sobre energía (electricidad) - Ejercicio 2011,0,0,0,1190423.84,1190423.84
37,2013,12500,220028,91003,Sobre hidrocarburos - Ejercicio 2011,0,0,0,-9817755.61,-9817755.61
38,2013,12500,220029,91003,Tipo Autonómico del Impuesto Esp. de Hidrocarburos,40000000,0,40000000,0,0
39,2013,12500,300050,91003,Venta de Bienes de Cortes de Aragón,36000,0,36000,18000,18000
40,2013,12500,301006,91003,"Venta de  Public de Educ., Univ., Cult. y Deporte",20000,0,20000,7875.62,576.73
41,2013,12500,301050,91003,Venta de Publicac. de Cortes de Aragón,15000,0,15000,7500,7500
42,2013,12500,302000,91003,Venta de cartones de bingo,260000,0,260000,285262.94,285262.94
43,2013,12500,310050,91003,Entradas Cortes de Aragón,255000,0,255000,127500,127500
44,2013,12500,319000,91003,Prestación Serv. de Presidencia y Justicia,0,0,0,166500,151500
45,2013,12500,319005,91003,"Prestación Serv. de Sanidad, B. Social y Familia",0,0,0,344906.98,302159.23
46,2013,12500,319006,91003,"Prestación Serv. de Educ., Univ., Cult. y Deporte",1800000,0,1800000,3246674.57,2817040.72
47,2013,12500,319103,91003,Prestación de servicios en guarderías,806600,0,806600,851903.07,787384.1
48,2013,12500,319109,91003,Prestación de servicios en cartografía,1000,0,1000,369.68,369.68
49,2013,12500,319111,91003,Cuotas alumnos Inst. Formación Agroambiental,200000,0,200000,1900.12,1900.12
50,2013,12500,319116,91003,Prestación de Servicios en Residencias,780000,0,780000,0,0
51,2013,12500,319117,91003,Cuotas alumnos Inst. Formación Prof. Específica,1450000,0,1450000,0,0
52,2013,12500,319118,91003,Prestación Servicios RACI,110000,0,110000,46202.04,10298.55
53,2013,12500,319321,91003,Transporte Sanitario por Helicóptero,92783,0,92783,11972,11972
54,2013,12500,321006,91003,Tasa 06- Act. en materia de vivienda protegida,0,0,0,0.29,0.29
55,2013,12500,327014,91003,"Tasa 14- Serv. act. Indus,energ,metrol,miner,comer",0,0,0,-236.74,-236.74
56,2013,12500,329001,91003,Tasa 01- Dirección e inspección de obras,3206000,0,3206000,1676004.58,813274.87
57,2013,12500,329003,91003,"Tasa 03- Serv.admvos, redacc. informes,activ. fac.",61000,0,61000,136686.53,127955.61
58,2013,12500,329004,91003,Tasa 04- Por Autorizacones Espectáculos Públicos,17100.23,0,17100.23,28116.18,28116.18
59,2013,12500,329005,91003,Tasa 05-S. Mat. orde. transp. terr carretera,900000,0,900000,1039464.48,1039464.48
