_id,Ejercicio,Centro Gestor,Economico,Financiacion,Descripcion,Prevision Inicial,Modificaciones,Prevision Definitiva,D.Rec. Netos,Recaudado Neto
1,2021,12500,100000,91003,Tarifa Autonómica del I.R.P.F.,1454862750,,1454862750,1454862750,1454862750
2,2021,12500,100006,91003,Tarifa Autonómica IRPF Ejercicios Anteriores,"37446205,23",,"37446205,23","71590736,18","71590736,18"
3,2021,12500,110000,91003,Sobre adquisiciones por herencia o legado,105000000,"36023055,71","141023055,7",,
4,2021,12500,110003,91003,Donaciones,500000,"10860472,4","11360472,4",,
5,2021,12500,111000,91003,Sobre el patrimonio neto de las personas físicas,42000000,"10395899,2","52395899,2",,
6,2021,12500,115000,91003,Impuestos Depósitos Entidades de Crédito,10000000,,10000000,,
7,2021,12500,200000,91003,Sobre Transmisiones Patrimoniales Onerosas,93700000,"22520572,69","116220572,7",,
8,2021,12500,200002,91003,Sobre Transmisiones de vehículos,2500000,,2500000,,
9,2021,12500,201000,91003,Documentos Notariales,51800000,,51800000,,
10,2021,12500,201002,91003,Documentos Administrativos,1600000,,1600000,,
11,2021,12500,202000,91003,Sobre operaciones societarias,1500000,,1500000,,
12,2021,12500,210001,91003,I.V.A. Sobre Operaciones Internas,1164274950,,1164274950,1164274950,1164274950
13,2021,12500,210017,91003,IVA Liquidación Ejercicios Anteriores,-17944650,,-17944650,"-37666936,17","-37666936,17"
14,2021,12500,220000,91003,Sobre el alcohol y bebidas derivadas,14479170,,14479170,14479170,14479170
15,2021,12500,220001,91003,Sobre Cerveza,5803110,,5803110,5803110,5803110
16,2021,12500,220003,91003,Sobre labores de tabaco,128627250,,128627250,128627250,128627250
17,2021,12500,220005,91003,Sobre determinados medios de transporte,6000000,,6000000,,
18,2021,12500,220006,91003,Sobre productos intermedios,337680,,337680,337680,337680
19,2021,12500,220007,91003,Sobre energía (electricidad),59250180,,59250180,59250180,59250180
20,2021,12500,220008,91003,Sobre hidrocarburos,334193710,,334193710,334193710,334193710
21,2021,12500,220009,91003,Impuesto Especial (Ejercicios anteriores),-26698420,,-26698420,,
