_id,Ejercicio,Centro Gestor,Funcional,Economico,Financiacion,Descripcion,Credito Inicial,Modificaciones,Credito Definitivo,Comprometido,Obligaciones Reconocidas,Pagado
1,2013,1010,1111,100000,91002,Retribuciones básicas de Altos Cargos,2449891.22,0,2449891.22,2449891.22,2449891.22,2449891.22
2,2013,1010,1111,100001,91002,Otras remuneraciones de Altos Cargos,263598.86,0,263598.86,263598.86,263598.86,263598.86
3,2013,1010,1111,110000,91002,Retribuciones básicas Pers. Eventual de Gabinete,145184.76,0,145184.76,145184.76,145184.76,145184.76
4,2013,1010,1111,110001,91002,Otras remuneraciones de Pers. Eventual de Gabinete,167792.38,0,167792.38,167792.38,167792.38,167792.38
5,2013,1010,1111,120000,91002,Sueldos de Personal Funcionario,1461379.08,0,1461379.08,1339417.49,1339417.49,1339417.49
6,2013,1010,1111,120005,91002,Trienios de Personal Funcionario,595670.2,0,595670.2,446752.65,446752.65,446752.65
7,2013,1010,1111,120006,91002,Pagas extraordinarias de Personal Funcionario,540542.28,0,540542.28,405406.71,405406.71,405406.71
8,2013,1010,1111,121000,91002,Complemento de destino de Personal Funcionario,662277.36,0,662277.36,496708.02,496708.02,496708.02
9,2013,1010,1111,121001,91002,Complemento específico de Personal Funcionario,596927.16,0,596927.16,447695.37,447695.37,447695.37
10,2013,1010,1111,122002,91002,Otras retribuciones en especie,125000,0,125000,93750,93750,93750
11,2013,1010,1111,130000,91002,Salario base de Personal Laboral Fijo,96070.8,0,96070.8,72053.1,72053.1,72053.1
12,2013,1010,1111,130001,91002,Antigüedad de Personal Laboral Fijo,41914.26,0,41914.26,31435.71,31435.71,31435.71
13,2013,1010,1111,130002,91002,Pagas extraordinarias de Personal Laboral Fijo,30793.38,0,30793.38,23095.05,23095.05,23095.05
14,2013,1010,1111,130003,91002,Otras remuneraciones de Personal Laboral Fijo,60334.08,0,60334.08,45250.56,45250.56,45250.56
15,2013,1010,1111,131000,91002,Salario base de Personal Laboral Eventual,13241.28,0,13241.28,9930.96,9930.96,9930.96
16,2013,1010,1111,131001,91002,Otras remuneraciones de Personal Laboral Eventual,12800.54,0,12800.54,9600.42,9600.42,9600.42
17,2013,1010,1111,150000,91002,Productividad fija de Funcionarios,190873.68,0,190873.68,143155.26,143155.26,143155.26
18,2013,1010,1111,151000,91002,Gratificaciones de Personal Funcionario,18050,0,18050,13537.5,13537.5,13537.5
19,2013,1010,1111,151001,91002,Gratificaciones de Personal no Funcionario,950,0,950,712.5,712.5,712.5
20,2013,1010,1111,160000,91002,Seguridad social,1411193.96,0,1411193.96,1058395.47,1058395.47,1058395.47
21,2013,1010,1111,160001,91002,MUFACE,14786.24,0,14786.24,11089.68,11089.68,11089.68
22,2013,1010,1111,160009,91002,Otras cuotas sociales,2457.42,0,2457.42,1843.08,1843.08,1843.08
23,2013,1010,1111,161000,91002,Formación y perfeccion. Funcionarios y no Laboral,10000,0,10000,7500,7500,7500
24,2013,1010,1111,161001,91002,Economatos y comedores. Funcionarios y no Laboral,61750,0,61750,46312.5,46312.5,46312.5
25,2013,1010,1111,161009,91002,Otros Gtos Sociales de Funcionarios y no Laborales,16000,0,16000,12000,12000,12000
26,2013,1010,1111,162000,91002,Formación y perfeccionamiento de Personal Laboral,285,0,285,213.75,213.75,213.75
27,2013,1010,1111,162001,91002,Economatos y comedores de Personal Laboral,1140,0,1140,855,855,855
28,2013,1010,1111,162009,91002,Otros gastos sociales de Personal Laboral,114,0,114,85.5,85.5,85.5
29,2013,1010,1111,165000,91002,Fondo de Acción Social,103829.24,0,103829.24,77871.93,77871.93,77871.93
30,2013,1010,1111,203000,91002,"Arrendamientos maquinaria, instalación y utillaje",2000,0,2000,1500,1500,1500
31,2013,1010,1111,206000,91002,Arrendamientos de equipos procesos de información,210983.73,0,210983.73,158237.8,158237.8,158237.8
32,2013,1010,1111,212000,91002,Rep. y conservación edificios y otras construcc.,150000,0,150000,112500,112500,112500
33,2013,1010,1111,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje",100000,0,100000,75000,75000,75000
34,2013,1010,1111,214000,91002,Reparación y conservación material de transporte,8000,0,8000,6000,6000,6000
35,2013,1010,1111,215000,91002,Reparación y conservación de mobiliario y enseres,15000,0,15000,11250,11250,11250
36,2013,1010,1111,216000,91002,Rep. y conserv. equipos procesos de información,109315,0,109315,81986.25,81986.25,81986.25
37,2013,1010,1111,220000,91002,Ordinario no inventariable,20000,0,20000,15000,15000,15000
38,2013,1010,1111,220001,91002,Mobiliario y enseres,10000,0,10000,7500,7500,7500
39,2013,1010,1111,220002,91002,"Prensa, revistas y publicaciones periódicas",135410,0,135410,101557.5,101557.5,101557.5
40,2013,1010,1111,220003,91002,Libros y otras publicaciones,131230,0,131230,98422.5,98422.5,98422.5
41,2013,1010,1111,220004,91002,Material informático,10000,0,10000,7500,7500,7500
42,2013,1010,1111,220009,91002,Otro material de oficina,1000,0,1000,750,750,750
43,2013,1010,1111,221000,91002,Energía eléctrica,350000,0,350000,262500,262500,262500
44,2013,1010,1111,221001,91002,Agua,1000,0,1000,750,750,750
45,2013,1010,1111,221003,91002,Combustibles,12000,0,12000,9000,9000,9000
46,2013,1010,1111,221004,91002,Vestuario,15600,0,15600,11700,11700,11700
47,2013,1010,1111,221009,91002,Otros suministros,35000,0,35000,26250,26250,26250
48,2013,1010,1111,222000,91002,Telefónicas,230808.48,0,230808.48,173106.36,173106.36,173106.36
49,2013,1010,1111,222001,91002,Postales,15000,0,15000,11250,11250,11250
50,2013,1010,1111,222002,91002,Telegráficas,600,0,600,450,450,450
51,2013,1010,1111,222009,91002,Otras comunicaciones,20000,0,20000,15000,15000,15000
52,2013,1010,1111,223000,91002,Transporte,2000,0,2000,1500,1500,1500
53,2013,1010,1111,224001,91002,Primas de vehículos,6000,0,6000,4500,4500,4500
54,2013,1010,1111,224002,91002,Primas de otro inmovilizado,16000,0,16000,12000,12000,12000
55,2013,1010,1111,225000,91002,Tributos locales,4500,0,4500,3375,3375,3375
56,2013,1010,1111,226001,91002,Atenciones protocolarias y representativas,128000,0,128000,96000,96000,96000
57,2013,1010,1111,226002,91002,Gastos de divulgación y promoción,282000,0,282000,211500,211500,211500
58,2013,1010,1111,226005,91002,Reuniones y conferencias,50000,0,50000,37500,37500,37500
59,2013,1010,1111,226009,91002,Otros gastos diversos,130000,0,130000,97500,97500,97500
60,2013,1010,1111,227000,91002,Limpieza y aseo,328281.36,0,328281.36,246211.02,246211.02,246211.02
61,2013,1010,1111,227001,91002,Seguridad,1328503.16,0,1328503.16,996377.37,996377.37,996377.37
62,2013,1010,1111,227003,91002,Postales,8400,0,8400,6300,6300,6300
63,2013,1010,1111,227004,91002,"Custodia, depósito y almacenaje",7500,0,7500,5625,5625,5625
64,2013,1010,1111,227006,91002,Estudios y trabajos técnicos,13000,0,13000,9750,9750,9750
65,2013,1010,1111,227009,91002,Otros trabajos realizados por otras empresas,582594.34,0,582594.34,436945.77,436945.77,436945.77
66,2013,1010,1111,230000,91002,Dietas,505000,0,505000,378750,378750,378750
67,2013,1010,1111,231000,91002,Locomoción,505000,0,505000,378750,378750,378750
68,2013,1010,1111,239000,91002,Otras indemnizaciones,110000,0,110000,82500,82500,82500
69,2013,1010,1111,250000,91002,Gastos en pruebas selectivas,1000,0,1000,750,750,750
70,2013,1010,1111,251000,91002,Realización de cursos de formación interna,1000,0,1000,750,750,750
71,2013,1010,1111,359000,91002,"Otros gastos de depósitos, fianzas y avales",601,0,601,450.75,450.75,450.75
72,2013,1010,1111,480189,91002,Subvenciones a Grupos Parlamentarios,3095364,0,3095364,2321523,2321523,2321523
73,2013,1010,1111,480190,91002,Conciertos y convenios de las Cortes de Aragón,185552.2,0,185552.2,139164.15,139164.15,139164.15
74,2013,1010,1111,603000,91002,"Maquinaria, instalación y utillaje",36065.26,0,36065.26,27048.96,27048.96,27048.96
75,2013,1010,1111,606000,91002,Equipos para procesos de información,145101.6,0,145101.6,108826.2,108826.2,108826.2
76,2013,1010,1113,120000,91002,Sueldos de Personal Funcionario,51086.64,0,51086.64,38314.98,38314.98,38314.98
77,2013,1010,1113,120005,91002,Trienios de Personal Funcionario,19388.88,0,19388.88,14541.66,14541.66,14541.66
78,2013,1010,1113,120006,91002,Pagas extraordinarias de Personal Funcionario,18614.28,0,18614.28,13960.71,13960.71,13960.71
79,2013,1010,1113,121000,91002,Complemento de destino de Personal Funcionario,23694.84,0,23694.84,17771.13,17771.13,17771.13
80,2013,1010,1113,121001,91002,Complemento específico de Personal Funcionario,17515.32,0,17515.32,13136.49,13136.49,13136.49
81,2013,1010,1113,130000,91002,Salario base de Personal Laboral Fijo,23696.04,0,23696.04,17772.03,17772.03,17772.03
82,2013,1010,1113,130001,91002,Antigüedad de Personal Laboral Fijo,12745.2,0,12745.2,9558.9,9558.9,9558.9
83,2013,1010,1113,130002,91002,Pagas extraordinarias de Personal Laboral Fijo,8120.86,0,8120.86,6090.66,6090.66,6090.66
84,2013,1010,1113,130003,91002,Otras remuneraciones de Personal Laboral Fijo,12283.92,0,12283.92,9212.94,9212.94,9212.94
85,2013,1010,1113,150000,91002,Productividad fija de Funcionarios,4905.48,0,4905.48,3679.11,3679.11,3679.11
86,2013,1010,1113,160000,91002,Seguridad social,39609.54,0,39609.54,29707.17,29707.17,29707.17
87,2013,1010,1113,212000,91002,Rep. y conservación edificios y otras construcc.,15000,0,15000,11250,11250,11250
88,2013,1010,1113,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje",1415.34,0,1415.34,1061.52,1061.52,1061.52
89,2013,1010,1113,220003,91002,Libros y otras publicaciones,15000,0,15000,11250,11250,11250
90,2013,1010,1113,221009,91002,Otros suministros,15000,0,15000,11250,11250,11250
91,2013,1010,1113,226002,91002,Gastos de divulgación y promoción,75000,0,75000,56250,56250,56250
92,2013,1010,1113,227000,91002,Limpieza y aseo,43307.7,0,43307.7,32480.79,32480.79,32480.79
93,2013,1010,1113,227001,91002,Seguridad,192838.04,0,192838.04,144628.53,144628.53,144628.53
94,2013,1010,1113,227006,91002,Estudios y trabajos técnicos,4000,0,4000,3000,3000,3000
95,2013,1010,1113,227009,91002,Otros trabajos realizados por otras empresas,386758,0,386758,290068.5,290068.5,290068.5
96,2013,1010,1113,359000,91002,"Otros gastos de depósitos, fianzas y avales",601,0,601,450.75,450.75,450.75
97,2013,1020,1112,100000,91002,Retribuciones básicas de Altos Cargos,28372.68,0,28372.68,7093.17,7093.17,0
98,2013,1020,1112,100001,91002,Otras remuneraciones de Altos Cargos,42801.92,0,42801.92,10700.48,10700.48,0
99,2013,1020,1112,110000,91002,Retribuciones básicas Pers. Eventual de Gabinete,449406.86,0,449406.86,112351.72,112351.72,0
100,2013,1020,1112,110001,91002,Otras remuneraciones de Pers. Eventual de Gabinete,375699.94,0,375699.94,93924.99,93924.99,0
101,2013,1020,1112,120000,91002,Sueldos de Personal Funcionario,126027.6,0,126027.6,31506.9,31506.9,0
102,2013,1020,1112,120005,91002,Trienios de Personal Funcionario,99554.68,0,99554.68,24888.67,24888.67,0
103,2013,1020,1112,120006,91002,Pagas extraordinarias de Personal Funcionario,44032.34,0,44032.34,11008.09,11008.09,0
104,2013,1020,1112,121000,91002,Complemento de destino de Personal Funcionario,54290.04,0,54290.04,13572.51,13572.51,0
105,2013,1020,1112,121001,91002,Complemento específico de Personal Funcionario,44878.44,0,44878.44,11219.61,11219.61,0
106,2013,1020,1112,122002,91002,Otras retribuciones en especie,18000,0,18000,4500,4500,0
107,2013,1020,1112,150000,91002,Productividad fija de Funcionarios,54833.16,0,54833.16,13708.29,13708.29,0
108,2013,1020,1112,151000,91002,Gratificaciones de Personal Funcionario,1000,0,1000,250,250,0
109,2013,1020,1112,151001,91002,Gratificaciones de Personal no Funcionario,1000,0,1000,250,250,0
110,2013,1020,1112,160000,91002,Seguridad social,229218.39,0,229218.39,57304.6,57304.6,0
111,2013,1020,1112,160001,91002,MUFACE,1762.04,0,1762.04,440.51,440.51,0
112,2013,1020,1112,160009,91002,Otras cuotas sociales,8829.8,0,8829.8,2207.45,2207.45,0
113,2013,1020,1112,161000,91002,Formación y perfeccion. Funcionarios y no Laboral,2000,0,2000,500,500,0
114,2013,1020,1112,161009,91002,Otros Gtos Sociales de Funcionarios y no Laborales,2300,0,2300,575,575,0
115,2013,1020,1112,165000,91002,Fondo de Acción Social,30200,0,30200,7550,7550,0
116,2013,1020,1112,202000,91002,Arrendamientos de edificios y otras construcciones,100,0,100,25,25,0
117,2013,1020,1112,206000,91002,Arrendamientos de equipos procesos de información,100,0,100,25,25,0
118,2013,1020,1112,212000,91002,Rep. y conservación edificios y otras construcc.,4500,0,4500,1125,1125,0
119,2013,1020,1112,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje",23000,0,23000,5750,5750,0
120,2013,1020,1112,214000,91002,Reparación y conservación material de transporte,2100,0,2100,525,525,0
121,2013,1020,1112,215000,91002,Reparación y conservación de mobiliario y enseres,500,0,500,125,125,0
122,2013,1020,1112,216000,91002,Rep. y conserv. equipos procesos de información,3000,0,3000,750,750,0
123,2013,1020,1112,220000,91002,Ordinario no inventariable,10800,0,10800,2700,2700,0
124,2013,1020,1112,220001,91002,Mobiliario y enseres,1000,0,1000,250,250,0
125,2013,1020,1112,220002,91002,"Prensa, revistas y publicaciones periódicas",14400,0,14400,3600,3600,0
126,2013,1020,1112,220003,91002,Libros y otras publicaciones,40000,0,40000,10000,10000,0
127,2013,1020,1112,220004,91002,Material informático,4000,0,4000,1000,1000,0
