_id,Ejercicio,Centro Gestor,Funcional,Economico,Financiacion,Descripcion,Credito inicial,Modificaciones,Credito Definitivo,Comprometido,Obligaciones Reconocidas,Pagado
1,2024,01010,1111,100000,91002,Retribuciones básicas de Altos Cargos,"2.677.561,92",,"2.677.561,92","2.677.561,92","2.677.561,92","669.390,48"
2,2024,01010,1111,100001,91002,Otras remuneraciones de Altos Cargos,"336.470,82",,"336.470,82","336.470,82","336.470,82","84.117,71"
3,2024,01010,1111,100005,91002,Trienios,"75.928,70",,"75.928,70","75.928,70","75.928,70","18.982,18"
4,2024,01010,1111,110000,91002,Retribuciones básicas Pers. Eventual de Gabinete,"109.773,12",,"109.773,12","109.773,12","109.773,12","27.443,28"
5,2024,01010,1111,110001,91002,Otras remuneraciones de Pers. Eventual de Gabinete,"75.138,72",,"75.138,72","75.138,72","75.138,72","18.784,68"
6,2024,01010,1111,110005,91002,Trienios de Pers. Eventual de Gabinete,"9.478,08",,"9.478,08","9.478,08","9.478,08","2.369,52"
7,2024,01010,1111,110006,91002,Pagas extraordinarias Pers. Eventual de Gabinete,"32.398,32",,"32.398,32","32.398,32","32.398,32","8.099,58"
8,2024,01010,1111,120000,91002,Sueldos de Personal Funcionario,"1.894.188,36",,"1.894.188,36","1.894.188,36","1.894.188,36","473.547,09"
9,2024,01010,1111,120005,91002,Trienios de Personal Funcionario,"797.734,56",,"797.734,56","797.734,56","797.734,56","199.433,64"
10,2024,01010,1111,120006,91002,Pagas extraordinarias de Personal Funcionario,"730.522,56",,"730.522,56","730.522,56","730.522,56","182.630,64"
11,2024,01010,1111,121000,91002,Complemento de destino de Personal Funcionario,"911.139,84",,"911.139,84","911.139,84","911.139,84","227.784,96"
12,2024,01010,1111,121001,91002,Complemento específico de Personal Funcionario,"1.008.420,22",,"1.008.420,22","1.008.420,22","1.008.420,22","252.105,06"
13,2024,01010,1111,122002,91002,Otras retribuciones en especie,"111.000,00",,"111.000,00","111.000,00","111.000,00","27.750,00"
14,2024,01010,1111,130000,91002,Salario base de Personal Laboral Fijo,"128.035,20",,"128.035,20","128.035,20","128.035,20","32.008,80"
15,2024,01010,1111,130001,91002,Antigüedad de Personal Laboral Fijo,"40.161,60",,"40.161,60","40.161,60","40.161,60","10.040,40"
16,2024,01010,1111,130002,91002,Pagas extraordinarias de Personal Laboral Fijo,"43.252,10",,"43.252,10","43.252,10","43.252,10","10.813,03"
17,2024,01010,1111,130003,91002,Otras remuneraciones de Personal Laboral Fijo,"108.844,56",,"108.844,56","108.844,56","108.844,56","27.211,14"
18,2024,01010,1111,150000,91002,Productividad fija de Funcionarios,"10.000,00",,"10.000,00","10.000,00","10.000,00","2.500,00"
19,2024,01010,1111,151000,91002,Gratificaciones de Personal Funcionario,"15.000,00",,"15.000,00","15.000,00","15.000,00","3.750,00"
20,2024,01010,1111,151001,91002,Gratificaciones de Personal no Funcionario,"2.000,00",,"2.000,00","2.000,00","2.000,00",500
21,2024,01010,1111,160000,91002,Seguridad social,"2.023.572,95",,"2.023.572,95","2.023.572,95","2.023.572,95","505.893,24"
22,2024,01010,1111,161000,91002,Formación y perfeccion. Funcionarios y no Laboral,"5.000,00",,"5.000,00","5.000,00","5.000,00","1.250,00"
23,2024,01010,1111,161009,91002,Otros Gtos Sociales de Funcionarios y no Laborales,"25.000,00",,"25.000,00","25.000,00","25.000,00","6.250,00"
24,2024,01010,1111,162000,91002,Formación y perfeccionamiento de Personal Laboral,500,,500,500,500,125
25,2024,01010,1111,162009,91002,Otros gastos sociales de Personal Laboral,500,,500,500,500,125
26,2024,01010,1111,165000,91002,Fondo de Acción Social,"10.000,00",,"10.000,00","10.000,00","10.000,00","2.500,00"
27,2024,01010,1111,165001,91002,Fondo de pensiones,"120.850,37",,"120.850,37","120.850,37","120.850,37","30.212,59"
28,2024,01010,1111,203000,91002,"Arrendamientos maquinaria, instalación y utillaje","2.000,00",,"2.000,00","2.000,00","2.000,00",500
29,2024,01010,1111,204000,91002,Arrendamientos de material de transporte,"25.000,00",,"25.000,00","25.000,00","25.000,00","6.250,00"
30,2024,01010,1111,206000,91002,Arrendamientos de equipos procesos de información,"174.841,05",,"174.841,05","174.841,05","174.841,05","43.710,26"
31,2024,01010,1111,212000,91002,Rep. y conservación edificios y otras construcc.,"120.000,00",,"120.000,00","120.000,00","120.000,00","30.000,00"
32,2024,01010,1111,213000,91002,"Rep. y conserv. maquinaria,instalaciones,utillaje","145.000,00",,"145.000,00","145.000,00","145.000,00","36.250,00"
33,2024,01010,1111,214000,91002,Reparación y conservación material de transporte,"8.000,00",,"8.000,00","8.000,00","8.000,00","2.000,00"
34,2024,01010,1111,215000,91002,Reparación y conservación de mobiliario y enseres,"10.000,00",,"10.000,00","10.000,00","10.000,00","2.500,00"
35,2024,01010,1111,216000,91002,Rep. y conserv. equipos procesos de información,"126.868,06",,"126.868,06","126.868,06","126.868,06","31.717,02"
36,2024,01010,1111,220000,91002,Ordinario no inventariable,"10.000,00",,"10.000,00","10.000,00","10.000,00","2.500,00"
37,2024,01010,1111,220001,91002,Mobiliario y enseres,"7.000,00",,"7.000,00","7.000,00","7.000,00","1.750,00"
38,2024,01010,1111,220002,91002,"Prensa, revistas y publicaciones periódicas","141.000,00",,"141.000,00","141.000,00","141.000,00","35.250,00"
39,2024,01010,1111,220003,91002,Libros y otras publicaciones,"77.000,00",,"77.000,00","77.000,00","77.000,00","19.250,00"
40,2024,01010,1111,220004,91002,Material informático,"31.230,00",,"31.230,00","31.230,00","31.230,00","7.807,50"
41,2024,01010,1111,221000,91002,Energía eléctrica,"460.000,00",,"460.000,00","460.000,00","460.000,00","115.000,00"
42,2024,01010,1111,221001,91002,Agua,"3.000,00",,"3.000,00","3.000,00","3.000,00",750
43,2024,01010,1111,221003,91002,Combustibles,"15.000,00",,"15.000,00","15.000,00","15.000,00","3.750,00"
44,2024,01010,1111,221004,91002,Vestuario,"28.000,00",,"28.000,00","28.000,00","28.000,00","7.000,00"
45,2024,01010,1111,221006,91002,Productos farmacéuticos,"1.500,00",,"1.500,00","1.500,00","1.500,00",375
46,2024,01010,1111,221009,91002,Otros suministros,"34.000,00",,"34.000,00","34.000,00","34.000,00","8.500,00"
47,2024,01010,1111,222000,91002,Telefónicas,"154.953,70",,"154.953,70","154.953,70","154.953,70","38.738,43"
48,2024,01010,1111,222001,91002,Postales,"5.000,00",,"5.000,00","5.000,00","5.000,00","1.250,00"
49,2024,01010,1111,222009,91002,Otras comunicaciones,"2.000,00",,"2.000,00","2.000,00","2.000,00",500
50,2024,01010,1111,223000,91002,Transporte,"2.000,00",,"2.000,00","2.000,00","2.000,00",500
51,2024,01010,1111,224001,91002,Primas de vehículos,"4.000,00",,"4.000,00","4.000,00","4.000,00","1.000,00"
52,2024,01010,1111,224002,91002,Primas de otro inmovilizado,"32.000,00",,"32.000,00","32.000,00","32.000,00","8.000,00"
53,2024,01010,1111,225000,91002,Tributos locales,"10.000,00",,"10.000,00","10.000,00","10.000,00","2.500,00"
54,2024,01010,1111,225001,91002,Tributos autonómicos,"4.000,00",,"4.000,00","4.000,00","4.000,00","1.000,00"
55,2024,01010,1111,226001,91002,Atenciones protocolarias y representativas,"55.000,00",,"55.000,00","55.000,00","55.000,00","13.750,00"
56,2024,01010,1111,226002,91002,Gastos de divulgación y promoción,"70.000,00",,"70.000,00","70.000,00","70.000,00","17.500,00"
57,2024,01010,1111,226005,91002,Reuniones y conferencias,"37.000,00",,"37.000,00","37.000,00","37.000,00","9.250,00"
58,2024,01010,1111,226009,91002,Otros gastos diversos,"5.000,00",,"5.000,00","5.000,00","5.000,00","1.250,00"
59,2024,01010,1111,227000,91002,Limpieza y aseo,"550.000,00",,"550.000,00","550.000,00","550.000,00","137.500,00"
60,2024,01010,1111,227001,91002,Seguridad,"925.000,00",,"925.000,00","925.000,00","925.000,00","231.250,00"
61,2024,01010,1111,227003,91002,Postales,500,,500,500,500,125
62,2024,01010,1111,227006,91002,Estudios y trabajos técnicos,"107.159,05",,"107.159,05","107.159,05","107.159,05","26.789,76"
63,2024,01010,1111,227009,91002,Otros trabajos realizados por otras empresas,"1.031.679,07",,"1.031.679,07","1.031.679,07","1.031.679,07","257.919,77"
64,2024,01010,1111,230000,91002,Dietas,"506.815,74",,"506.815,74","506.815,74","506.815,74","126.703,94"
65,2024,01010,1111,231000,91002,Locomoción,"506.815,74",,"506.815,74","506.815,74","506.815,74","126.703,94"
66,2024,01010,1111,239000,91002,Otras indemnizaciones,"55.000,00",,"55.000,00","55.000,00","55.000,00","13.750,00"
67,2024,01010,1111,250000,91002,Gastos en pruebas selectivas,"5.000,00",,"5.000,00","5.000,00","5.000,00","1.250,00"
68,2024,01010,1111,251000,91002,Realización de cursos de formación interna,"4.000,00",,"4.000,00","4.000,00","4.000,00","1.000,00"
69,2024,01010,1111,359000,91002,Otros gastos financieros,"1.200,00",,"1.200,00","1.200,00","1.200,00",300
70,2024,01010,1111,440298,91002,Cátedra de Derecho Civil Aragonés UNIZAR,"10.000,00",,"10.000,00","10.000,00","10.000,00","2.500,00"
71,2024,01010,1111,480001,91002,Fundación Seminario Investigación para la Paz,"55.000,00",,"55.000,00","55.000,00","55.000,00","13.750,00"
72,2024,01010,1111,480548,91002,Subvención GP POPULAR de las Cortes de Aragón,"1.395.689,16",,"1.395.689,16","1.395.689,16","1.395.689,16","348.922,29"
73,2024,01010,1111,480549,91002,Subvención GP SOCIALISTA de las Cortes de Aragón,"1.174.255,32",,"1.174.255,32","1.174.255,32","1.174.255,32","293.563,83"
74,2024,01010,1111,480554,91002,Subv. Exparlamentarios de las Cortes de Aragón,"4.973,40",,"4.973,40","4.973,40","4.973,40","1.243,35"
75,2024,01010,1111,480555,91002,Fundación Manuel Giménez Abad,"170.000,00",,"170.000,00","170.000,00","170.000,00","42.500,00"
76,2024,01010,1111,480556,91002,Becas de las Cortes de Aragón,"55.200,00",,"55.200,00","55.200,00","55.200,00","13.800,00"
77,2024,01010,1111,480683,91002,Subv. GP CHUNTA ARAGONESISTA de las Cortes Aragón,"288.520,32",,"288.520,32","288.520,32","288.520,32","72.130,08"
78,2024,01010,1111,480684,91002,Subv. GP VOX EN ARAGÓN de las Cortes de Aragón,"465.667,32",,"465.667,32","465.667,32","465.667,32","116.416,83"
79,2024,01010,1111,480808,91002,Subvención G.P. Aragón-Teruel Existe,"288.520,32",,"288.520,32","288.520,32","288.520,32","72.130,08"
80,2024,01010,1111,480809,91002,Subvención G.P. Mixto - A.P. Podemos,"146.395,20",,"146.395,20","146.395,20","146.395,20","36.598,80"
81,2024,01010,1111,480810,91002,Subv. G.P. Mixto - A.P. Izquierda Unida de Aragón,"146.395,20",,"146.395,20","146.395,20","146.395,20","36.598,80"
82,2024,01010,1111,480811,91002,Subvención G.P. Mixto - A.P. Partido Aragonés,"146.395,20",,"146.395,20","146.395,20","146.395,20","36.598,80"
83,2024,01010,1111,602000,91002,Edificios y otras construcciones,"30.000,00",,"30.000,00","30.000,00","30.000,00","7.500,00"
84,2024,01010,1111,603000,91002,"Maquinaria, instalación y utillaje","41.000,00",,"41.000,00","41.000,00","41.000,00","10.250,00"
85,2024,01010,1111,605000,91002,Mobiliario y enseres,"35.000,00",,"35.000,00","35.000,00","35.000,00","8.750,00"
