_id,EJERCICIO,GASTO/INGRESO,CAPITULO,ARTICULO,CONCEPTO,SUBCONCEPTO,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2014,G,1,,,,Gastos de Personal,Gastos de Personal
2,2014,G,2,,,,Gtos.Bienes Corr. y Serv.,Gastos en Bienes Corrientes y Servicios
3,2014,G,3,,,,Gastos Financieros,Gastos Financieros
4,2014,G,4,,,,Transferencias Corrientes,Transferencias Corrientes
5,2014,G,5,,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
6,2014,G,6,,,,Inversiones Reales,Inversiones Reales
7,2014,G,7,,,,Transferencias de Capital,Transferencias de Capital
8,2014,G,8,,,,Activos Financieros,Activos Financieros
9,2014,G,9,,,,Pasivos Financieros,Pasivos Financieros
10,2014,G,1,10,,,Altos Cargos,Altos Cargos
11,2014,G,1,11,,,Person. Eventual Gabinete,Personal Eventual de Gabinete
12,2014,G,1,12,,,Funcionarios,Funcionarios
13,2014,G,1,13,,,Laborales,Laborales
14,2014,G,1,14,,,Otro personal,Otro personal
15,2014,G,1,15,,,Incentivos al rendimiento,Incentivos al rendimiento
16,2014,G,1,16,,,Cuotas sociales empleador,"Cuotas, prest. y gtos soc. a cargo del empleador"
17,2014,G,1,17,,,Gtos personal distribuir,Gastos de personal a distribuir
18,2014,G,1,18,,,Pers. Instit. Sanitarias,Personal de Instituciones Sanitarias
19,2014,G,2,20,,,Arrendamientos,Arrendamientos
20,2014,G,2,21,,,Reparación y conservación,Reparación y conservación
21,2014,G,2,22,,,"Material, suminis.y otros","Material, suministros y otros"
22,2014,G,2,23,,,Indemnizac. por servicio,Indemnizaciones por razón del servicio
23,2014,G,2,24,,,Servicios nuevos,Servicios nuevos
24,2014,G,2,25,,,Otr gtos b.corrient y ser,Otros gastos en bienes corrientes y servicios
25,2014,G,2,26,,,Serv.Asist. medios ajenos,Servicios asistenciales con medios ajenos
26,2014,G,3,30,,,De deuda interior,De deuda interior
27,2014,G,3,31,,,De préstamos del interior,De préstamos del interior
28,2014,G,3,32,,,De préstamos del exterior,De préstamos del exterior
29,2014,G,3,35,,,"Depósitos,fianzas,avales","De depósitos, fianzas y avales"
30,2014,G,3,39,,,Otro préstamos y anticip.,Otros préstamos y anticipos
31,2014,G,4,40,,,A la Admón del Estado,A la Administración del Estado
32,2014,G,4,41,,,A Organismos Autónomos,A Organismos Autónomos
33,2014,G,4,42,,,A la Seguridad Social,A la Seguridad Social
34,2014,G,4,44,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
35,2014,G,4,45,,,A Comunidades Autónomas,A Comunidades Autónomas
36,2014,G,4,46,,,A Corporaciones Locales,A Corporaciones Locales
37,2014,G,4,47,,,A Empresas Privadas,A Empresas Privadas
38,2014,G,4,48,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
39,2014,G,4,49,,,Al Exterior,Al Exterior
40,2014,G,5,50,,,Fondo Contingencia,Fondo de Contingencia de Ejecución Presupuestaria
41,2014,G,6,60,,,Inversiones Reales,Inversiones Reales
42,2014,G,7,70,,,A la Admón del Estado,A la Administración del Estado
43,2014,G,7,71,,,A Organismos Autónomos,A Organismos Autónomos
44,2014,G,7,72,,,A la Seguridad Social,A la Seguridad Social
45,2014,G,7,74,,,A Empr. y Entes Públicos,A Empresas Públicas y otros Entes Públicos
46,2014,G,7,75,,,A Comunidades Autónomas,A Comunidades Autónomas
47,2014,G,7,76,,,A Corporaciones Locales,A Corporaciones Locales
48,2014,G,7,77,,,A Empresas Privadas,A Empresas Privadas
49,2014,G,7,78,,,"A fam,ins.sin fines lucro",A familias e instituciones sin fines de lucro
50,2014,G,7,79,,,Al Exterior,Al Exterior
51,2014,G,8,80,,,Conc. prést. y anticipos,Concesión de préstamos y anticipos
52,2014,G,8,81,,,Adquis. accion. Sect.Públ,Adquis.acciones y participaciones del Stor Público
53,2014,G,8,82,,,Adquis. accion. Sect.Priv,Adq. acciones y participaciones del Sector Privado
54,2014,G,8,85,,,Const.Fianzas y depósitos,Constitución de fianzas y depósitos
55,2014,G,8,87,,,Aport. Patrimoniales,Aportaciones Patrimoniales
56,2014,G,9,90,,,Amortiz. Deuda Pública,Amortización de Deuda Pública
57,2014,G,9,91,,,Amortización préstamos,Amortización de Préstamos
58,2014,G,1,10,100,,Básicas y otras Alt.Cargo,Retr. básicas y otras de Altos Cargos
59,2014,G,1,11,110,,Básicas y otras P.Ev.Gab.,Retr. básicas y otras de Person. Eventual Gabinete
60,2014,G,1,12,120,,Ret. básicas Funcionarios,Retribuciones básicas de Personal Funcionario
61,2014,G,1,12,121,,Retr. compl. Funcionarios,Retrib. complementarias de Personal Funcionario
62,2014,G,1,12,122,,Retr.especie Funcionario,Retribuciones en especie de Personal Funcionario
63,2014,G,1,12,123,,Retr. Bás. P Func Docente,Retr. Básicas Personal Funcionario Docente
64,2014,G,1,12,124,,Retr. Com. P Func Docente,Retr. Complementarias Personal Funcionario Docente
65,2014,G,1,12,125,,RB F Nal. Justicia,Retribuciones Básicas Funcionarios Nal. Justicia
66,2014,G,1,12,126,,RC F Nal. Justicia,Retribuciones Complem. Funcionarios Nal. Justicia
67,2014,G,1,13,130,,Laboral fijo,Laboral fijo
68,2014,G,1,13,131,,Laboral Eventual,Laboral Eventual
69,2014,G,1,14,140,,Otro personal,Otro personal
70,2014,G,1,15,150,,Productividad,Productividad
71,2014,G,1,15,151,,Gratificaciones,Gratificaciones
72,2014,G,1,16,160,,Cuotas Sociales,Cuotas Sociales
73,2014,G,1,16,161,,Gtos.Soc.Func. y no labor,Gastos Sociales de Funcionarios y pers. no Laboral
74,2014,G,1,16,162,,Gtos. sociales Laborales,Gastos sociales de Personal Laboral
75,2014,G,1,16,165,,Fondo de Acción Social,Fondo de Acción Social
76,2014,G,1,17,170,,Fondo Incremento Norm.,Fondo de Incremento Normativo
77,2014,G,1,17,171,,Fondos Adicionales,Fondos Adicionales
78,2014,G,1,17,172,,Otros Fondos Adicionales,Otros Fondos Adicionales
79,2014,G,1,18,180,,"Ret.Func,APD,est,no labor","Retr. personal. func.,APD,estatutario y no laboral"
80,2014,G,1,18,182,,Retr otro Est. Temp.,Retribuciones de otro pers. estatutario temporal
81,2014,G,1,18,183,,Labor fijo de Inst.Sanit.,Personal laboral fijo de Instituciones Sanitarias
82,2014,G,1,18,184,,Personal laboral eventual,Personal laboral eventual
83,2014,G,1,18,185,,Inc.Rendim. Per Ins.Sanit,Inc. al rendimiento personal Instit. Sanitarias
84,2014,G,1,18,186,,"Cuotas,prest. y gtos soc.","Cuotas,prest. y gtos soc. de Pers Inst. Sanitar."
85,2014,G,1,18,187,,Personal en Formación,Personal en Formación
86,2014,G,2,20,200,,Arrend. Terr y  B. natur.,Arrendamientos de terrenos y bienes naturales
87,2014,G,2,20,202,,Arrend. Edific. y constr,Arrendamientos de edificios y otras construcciones
88,2014,G,2,20,203,,"Arrend. Maq,inst,utillaje","Arrendamientos maquinaria, instalación y utillaje"
89,2014,G,2,20,204,,Arrend. Material transp.,Arrendamientos de material de transporte
90,2014,G,2,20,205,,"Arrend. Mobil.,enseres",Arrendamientos de mobiliario y enseres
91,2014,G,2,20,206,,Arrend. Equip proc inform,Arrendamientos de equipos procesos de información
92,2014,G,2,20,209,,Arrend. otro inmov. mat.,Arrendamientos de otro inmovilizado material
93,2014,G,2,21,210,,Rep.Const.Terr y B.natur.,Rep. y conservación de terrenos y bienes naturales
94,2014,G,2,21,212,,Rep.Const. Edif. y constr,Rep. y conservación edificios y otras construcc.
95,2014,G,2,21,213,,"Rep.Const. Maq,inst,utill","Rep. y conserv. maquinaria,instalaciones,utillaje"
96,2014,G,2,21,214,,Rep.Const. Mat. transport,Reparación y conservación material de transporte
97,2014,G,2,21,215,,"Rep.Const. Mobil.,enseres",Reparación y conservación de mobiliario y enseres
98,2014,G,2,21,216,,Rep.Const. Equip informac,Rep. y conserv. equipos procesos de información
99,2014,G,2,21,219,,Rep.Const. otr inm. mat.,Rep. y conservación de otro inmovilizado material
100,2014,G,2,22,220,,Material de oficina,Material de oficina
101,2014,G,2,22,221,,Suministros,Suministros
102,2014,G,2,22,222,,Comunicaciones,Comunicaciones
103,2014,G,2,22,223,,Transporte,Transporte
104,2014,G,2,22,224,,Primas de seguros,Primas de seguros
105,2014,G,2,22,225,,Tributos,Tributos
106,2014,G,2,22,226,,Gastos diversos,Gastos diversos
107,2014,G,2,22,227,,Trabajos otras empresas,Trabajos realizados por otras empresas
108,2014,G,2,22,229,,Gtos. Ctros doc. no univ.,Gastos en centros docentes no universitarios
109,2014,G,2,23,230,,Dietas,Dietas
110,2014,G,2,23,231,,Locomoción,Locomoción
111,2014,G,2,23,232,,Traslado,Traslado
112,2014,G,2,23,239,,Otras indemnizaciones,Otras indemnizaciones
113,2014,G,2,24,240,,Arrend. servicios nuevos,Arrendamientos para servicios nuevos
