_id,Ano,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2019,0,,,,Deuda Pública,Deuda Pública
2,2019,1,,,,Servcios Carácter General,Servicios de Carácter General
3,2019,3,,,,Seg Protecc y Prom Social,"Seguridad, Protección y Promoción Social"
4,2019,4,,,,Prod.Bienes Púb. c.social,Producción de Bienes Públicos de Carácter Social
5,2019,5,,,,Prod.Bien P carac.econom.,Producc. de Bienes Públicos de Carácter Económico
6,2019,6,,,,Reg Econom Caráct General,Regulación Económica de Carácter General
7,2019,7,,,,Reg Econ Sect Productivos,Regulación Económica de Sectores Productivos
8,2019,9,,,,Transfer a otras AA.PP.,Transferencias a otras Administraciones Públicas
9,2019,0,1,,,Deuda Pública,Deuda Pública
10,2019,1,11,,,Alta Dirección C.A. y Gob,Alta Dirección de la C.A. y del Gobierno
11,2019,1,12,,,Administración General,Administración General
12,2019,1,13,,,Rel. Ext. y Coop. Intern.,Relaciones Exteriores y Cooperación Internacional
13,2019,1,14,,,Justicia,Justicia
14,2019,3,31,,,Seg. y Protección Social,Seguridad y Protección Social
15,2019,3,32,,,Promoción Social,Promoción Social
16,2019,4,41,,,Sanidad,Sanidad
17,2019,4,42,,,Educación,Educación
18,2019,4,43,,,Vivienda y Urbanismo,Vivienda y Urbanismo
19,2019,4,44,,,Bienestar Comunitario,Bienestar Comunitario
20,2019,4,45,,,Cultura,Cultura
21,2019,4,46,,,Otros Srvcios Com. y Soc.,Otros Servicios Comunitarios y Sociales
22,2019,5,51,,,Infraestructuras Básicas,Infraestructuras Básicas y del Transporte
23,2019,5,53,,,Infraestructuras Agrarias,Infraestructuras Agrarias
24,2019,5,54,,,"Invest Cient, Téc y Aplic","Investigación Científica, Técnica y Aplicada"
25,2019,5,55,,,Inform Básica y Estadíst,Información Básica y Estadística
26,2019,6,61,,,Act Económicas Generales,Actuaciones Económicas Generales
27,2019,6,62,,,Comercio,Comercio
28,2019,6,63,,,Actividad Financiera,Actividad Financiera
29,2019,6,64,,,Otras act. carácter econ.,Otras actuaciones de carácter económico
30,2019,7,71,,,Agricultura y Ganadería,Agricultura y Ganadería
31,2019,7,72,,,Industria,Industria
32,2019,7,73,,,Energía y Minas,Energía y Minas
33,2019,7,75,,,Turismo,Turismo
34,2019,9,91,,,Transfer AA.PP. Territ,Transferencias a AA.PP. Territoriales
35,2019,0,1,11,,Deuda Pública,Deuda Pública
36,2019,1,11,111,,Alta Dirección (Cortes),Alta Dirección de la C.A. (Cortes de Aragón)
37,2019,1,11,112,,Alta Dirección (P Gob.Ar),Alta Dirección de la C.A. (Presidencia Gob Aragón)
38,2019,1,12,121,,Servicios Generales,Servicios Generales
39,2019,1,12,122,,Función Pública,Función Pública
40,2019,1,12,123,,Formac y perfecc personal,Formación y Perfeccionamiento del personal (IAAP)
41,2019,1,12,125,,Gastos relat. Admón.Local,Gastos relativos a la Administración Local
42,2019,1,12,126,,Otros Servicios Generales,Otros Servicios Generales
43,2019,1,13,131,,Rel. Exteriores,Relaciones Exteriores
44,2019,1,13,134,,Cooperación Internacional,Cooperación Internacional
45,2019,1,14,142,,Administración Justicia,Administración de Justicia
46,2019,3,31,311,,Admón y Promoción Social,Admón y Promoción Social
47,2019,3,31,313,,Acción Social,Acción Social
48,2019,3,31,315,,Relaciones Laborales,Relaciones Laborales
49,2019,3,32,322,,Promoción del Empleo,Promoción del Empleo
50,2019,3,32,323,,Promoción Sociocultural,Promoción Sociocultural
51,2019,3,32,324,,Acción favor Inmigrantes,Acción en favor de los Inmigrantes
52,2019,4,41,411,,Admón General Sanidad,Administración General de Sanidad
53,2019,4,41,412,,"Hosp,Svcios, Asist y Cent","Hospitales, Svcios, Asistencias y Centros de Salud"
54,2019,4,41,413,,Acciones Públicas Salud,Acciones Públicas relativas a la Salud
55,2019,4,42,421,,Admón General Educación,Administración General de Educación
56,2019,4,42,422,,Enseñanza,Enseñanza
57,2019,4,42,423,,Becas y Ayudas,Becas y Ayudas
58,2019,4,43,431,,Vivienda,Vivienda
59,2019,4,43,432,,Urbanismo y Arquitectura,Urbanismo y Arquitectura
60,2019,4,44,442,,Protecc y Medio Ambiente,Protección y Medio Ambiente
61,2019,4,44,443,,Otros Srvcios Bstar Com.,Otros servicios de Bienestar Comunitario
62,2019,4,45,452,,"Archivos,Bibliot y Museos","Archivos, Bibliotecas y Museos"
63,2019,4,45,455,,Promoción Cultural,Promoción Cultural
64,2019,4,45,457,,Deportes y Educ Física,Deportes y Educación Física
65,2019,4,45,458,,Patr. Hist-Artíst y Arqu.,Patrimonio Histórico-Artístico y Arqueológico
66,2019,4,46,463,,Asoc y Partic. Ciudadana,Asociación y Participación Ciudadana
67,2019,5,51,511,,Admón G. Infr. Básic.Tte,Administración General de Infr. Básicas y del Tte
68,2019,5,51,512,,Recursos Hidráulicos,Recursos Hidráulicos
69,2019,5,51,513,,Transporte Terrestre,Transporte Terrestre
70,2019,5,53,531,,Reforma y Dllo Agrario,Reforma y Desarrollo Agrario
71,2019,5,53,533,,Mejora del Medio Natural,Mejora del Medio Natural
72,2019,5,54,541,,"Ad G. Innovación, Investigación y Universidad","Adm. Gen. Innovación, Investigación y Universidad"
73,2019,5,54,542,,Invest Técnica y Aplicada,Investigación Técnica y Aplicada
74,2019,5,55,551,,"Estadís, Cartogr y Meteor","Estadística, Cartografía y Meteorología"
75,2019,6,61,611,,Admón Gen. Hacienda y Administración Pública,Ad. Gen.de Hacienda y Administración Pública
76,2019,6,61,612,,Regulac Económica General,Regulación Económica General
77,2019,6,61,615,,Asuntos de la C.E,Asuntos de la Comunidad Europea
78,2019,6,62,622,,Comercio Interior,Comercio Interior
79,2019,6,62,623,,Comercio Exterior,Comercio Exterior
80,2019,6,63,631,,Administración Financiera,Administración Financiera
81,2019,6,64,641,,Junta Contratación Adtva.,Junta de Contratación Administrativa
82,2019,6,64,642,,Defensa Competencia,Defensa de la Competencia
83,2019,7,71,711,,Ad.G Desarrollo Rural y Sostenibilidad,Adm.Gener. Desarrollo Rural y Sostenibilidad
84,2019,7,71,712,,Promoción Población Rural,Promoción de la Población Rural
85,2019,7,71,716,,Calidad y Seguridad Alimentaria,Calidad y Seguridad Alimentaria
86,2019,7,72,722,,Act Admtvas sobre Industria,Actuaciones Administrativas sobre Industria
87,2019,7,72,723,,Apoyo a la PYME,Apoyo a la Pequeña y Mediana Empresa
88,2019,7,73,731,,Planif y Prod Energ y Minas,Planificación y Producción Energética y Minera
89,2019,7,75,751,,Ordción y Prom Turística,Ordenación y Promoción Turística
90,2019,9,91,911,,Transfer AA.PP. Comarcal,Transferencias a Administraciones Comarcales
91,2019,0,1,11,111,Amortiz. y gastos Deuda,Amortización y Gastos Financieros de la Deuda
92,2019,1,11,111,1111,Cortes de Aragón,Cortes de Aragón (Actividad Legislativa)
93,2019,1,11,111,1112,Actuaciones del Justicia,Actuaciones del Justicia de Aragón
94,2019,1,11,111,1113,Aljafería,Aljafería
95,2019,1,11,111,1114,Act. Cámara de Cuentas,Actuaciones de la Cámara de Cuentas de Aragón
96,2019,1,11,112,1121,Presidencia y Órg Presid,Presidencia y Órganos de la Presidencia
97,2019,1,11,112,1124,Tribunal Admtvo. de Contratos Públicos de Aragón,Tribunal Admtvo. de Contratos Públicos de Aragón
98,2019,1,11,112,1125,Consejo Cons. Aragón,Consejo Consultivo de Aragón
99,2019,1,12,121,1211,Servicios Generales de Presidencia,Servicios Generales de Presidencia
100,2019,1,12,121,1212,"Servicios Centrales, Edificios e Instalaciones","Servicios Centrales, Edificios e Instalaciones"
101,2019,1,12,121,1213,Servicios de Seguridad y Protección Civil,Servicios de Seguridad y Protección Civil
102,2019,1,12,121,1214,No operativo,No operativo
103,2019,1,12,121,1215,Servicios de Interior,Servicios de Interior
104,2019,1,12,121,1216,Com.Aragonesas Exterior (No operativo),Comunidades Aragonesas del Exterior (No operativo)
105,2019,1,12,121,1217,Relac. Institucionales,Relaciones Institucionales
106,2019,1,12,121,1219,Unidad Policía Nacional adscrita a la C.Autónoma,Unidad Policía Nacional adscrita a la C.Autónoma
107,2019,1,12,122,1221,Dirección y Administración de la Función Pública,Dirección y Administración de la Función Pública
108,2019,1,12,123,1231,"Selección, Formación y Perfeccionamiento Personal","Selección, Formación y Perfeccionamiento Personal"
109,2019,1,12,125,1251,Apoyo a la Administración Local,Apoyo a la Administración Local
110,2019,1,12,125,1252,Política Territorial,Política Territorial
111,2019,1,12,125,1253,Estrategias Territoriales,Estrategias Territoriales
112,2019,1,12,125,1259,Cooperación con la Policía Local,Cooperación con la Policía Local
113,2019,1,12,126,1261,Serv.Coord.Admva.Huesca,Servicios de Coordinación Administrativa en Huesca
114,2019,1,12,126,1262,Serv.Coord.Admva.Teruel,Servicios de Coordinación Administrativa en Teruel
115,2019,1,12,126,1263,Servicios Jurídicos,Servicios Jurídicos
116,2019,1,12,126,1264,IInformación Ciudadana y Doc Administrativa,Información Ciudadana y Documentación Admva.
117,2019,1,12,126,1265,Servicios Telemáticos,Servicios Telemáticos
118,2019,1,12,126,1266,Televisión y Radio Autonómicas,Televisión y Radio Autonómicas
119,2019,1,12,126,1267,Actuaciones Relativas al Desarrollo Estatutario,Actuaciones Relativas al Desarrollo Estatutario
120,2019,1,12,126,1268,Inform. Partic. Ciudadana,Información y Participación Ciudadana
121,2019,1,12,126,1269,Serv.Gen.Pol.Terr. e Int(No operativo),Serv.Grales P. Territorial e Interior (No operativ
122,2019,1,13,131,1311,Act. Relac. Exteriores,Actuaciones de Relaciones Exteriores
123,2019,1,13,134,1341,Cooperación al Desarrollo,Cooperación al Desarrollo
