_id,EJERCICIO,GRUPO,FUNCION,SUBFUNCION,PROGRAMA,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2022,0,,,,Deuda Pública,Deuda Pública
2,2022,1,,,,Deuda Pública,Deuda Pública
3,2022,1,,,,Servcios Carácter General,Servicios de Carácter General
4,2022,3,,,,Seg Protecc y Prom Social,"Seguridad, Protección y Promoción Social"
5,2022,4,,,,Prod.Bienes Púb. c.social,Producción de Bienes Públicos de Carácter Social
6,2022,5,,,,Prod.Bien P carac.econom.,Producc. de Bienes Públicos de Carácter Económico
7,2022,6,,,,Reg Econom Caráct General,Regulación Económica de Carácter General
8,2022,7,,,,Reg Econ Sect Productivos,Regulación Económica de Sectores Productivos
9,2022,9,,,,Transfer a otras AA.PP.,Transferencias a otras Administraciones Públicas
10,2022,1,11,,,Deuda Pública,Deuda Pública
11,2022,1,11,,,Alta Dirección C.A. y Gob,Alta Dirección de la C.A. y del Gobierno
12,2022,1,12,,,Administración General,Administración General
13,2022,1,13,,,Rel. Ext. y Coop. Intern.,Relaciones Exteriores y Cooperación Internacional
14,2022,1,14,,,Justicia,Justicia
15,2022,3,31,,,Seg. y Protección Social,Seguridad y Protección Social
16,2022,3,32,,,Promoción Social,Promoción Social
17,2022,4,41,,,Sanidad,Sanidad
18,2022,4,42,,,Educación,Educación
19,2022,4,43,,,Vivienda y Urbanismo,Vivienda y Urbanismo
20,2022,4,44,,,Bienestar Comunitario,Bienestar Comunitario
21,2022,4,45,,,Cultura,Cultura
22,2022,4,46,,,Otros Srvcios Com. y Soc.,Otros Servicios Comunitarios y Sociales
23,2022,5,51,,,Infraestructuras Básicas,Infraestructuras Básicas y del Transporte
24,2022,5,53,,,Infraestructuras Agrarias,Infraestructuras Agrarias
25,2022,5,54,,,"Invest Cient, Téc y Aplic","Investigación Científica, Técnica y Aplicada"
26,2022,5,55,,,Inform Básica y Estadíst,Información Básica y Estadística
27,2022,6,61,,,Act Económicas Generales,Actuaciones Económicas Generales
28,2022,6,62,,,Comercio,Comercio
29,2022,6,63,,,Actividad Financiera,Actividad Financiera
30,2022,6,64,,,Otras act. carácter econ.,Otras actuaciones de carácter económico
31,2022,7,71,,,Agricultura y Ganadería,Agricultura y Ganadería
