_id,EJERCICIO,CENTRO GESTOR,DESCRIPCION CORTA,DESCRIPCION LARGA
1,2013,01,Cortes de Aragón,Cortes de Aragón
2,2013,0100,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
3,2013,01000,Ingresos de las Cortes de Aragón,Ingresos de las Cortes de Aragón
4,2013,0101,Cortes de Aragón,Cortes de Aragón
5,2013,01010,Cortes de Aragón,Cortes de Aragón
6,2013,0102,El Justicia de Aragón,El Justicia de Aragón
7,2013,01020,El Justicia de Aragón,El Justicia de Aragón
8,2013,0103,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
9,2013,01030,Cámara de Cuentas de Aragón,Cámara de Cuentas de Aragón
10,2013,02,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
11,2013,0200,Ingresos de Presidencia Gobierno Aragón,Ingresos de Presidencia Gobierno Aragón
12,2013,02000,Ingresos de Presidencia del Gobierno,Ingresos de Presidencia del Gobierno
13,2013,0201,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
14,2013,02010,Presidencia del Gobierno de Aragón,Presidencia del Gobierno de Aragón
15,2013,03,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
16,2013,0300,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
17,2013,03000,Ingresos Consejo Consultivo de Aragón,Ingresos Consejo Consultivo de Aragón
18,2013,0301,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
19,2013,03010,Consejo Consultivo de Aragón,Consejo Consultivo de Aragón
20,2013,09,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
21,2013,0900,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
22,2013,09000,Ingresos Consejo Ec. y Social de Aragón,Ingresos Consejo Ec. y Social de Aragón
23,2013,0901,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
24,2013,09010,Consejo Económico y Social de Aragón,Consejo Económico y Social de Aragón
25,2013,10,Presidencia y Justicia,Presidencia y Justicia
26,2013,1000,Ingresos de Presidencia y Justicia,Ingresos de Presidencia y Justicia
27,2013,10000,Ingresos de Presidencia y Justicia,Ingresos de Presidencia y Justicia
28,2013,1001,S.G.T. Presidencia y Justicia,S.G.T. Presidencia y Justicia
29,2013,10010,S.G.T. Presidencia y Justicia,S.G.T. Presidencia y Justicia
30,2013,1002,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
31,2013,10020,Dirección General de Servicios Jurídicos,Dirección General de Servicios Jurídicos
32,2013,1003,D.G. de Desarrollo Estatutario,D.G. de Desarrollo Estatutario
33,2013,10030,D.G. de Desarrollo Estatutario,D.G. de Desarrollo Estatutario
34,2013,1004,D.G. Rel. Inst. y con Cortes de Aragón,D.G. Rel. Inst. y con Cortes de Aragón
35,2013,10040,D.G. Rel. Inst. y con Cortes de Aragón,D.G. Rel. Inst. y con Cortes de Aragón
36,2013,1005,"D.G. Part. Ciudadana,Acc. Ext. y Cooper.","D.G. Part. Ciudadana,Acc. Ext. y Cooper."
37,2013,10050,"D.G. Part. Ciudadana,Acc. Ext. y Cooper.","D.G. Part. Ciudadana,Acc. Ext. y Cooper."
38,2013,1006,D.G. de Administración de Justicia,D.G. de Administración de Justicia
39,2013,10060,D.G. de Administración de Justicia,D.G. de Administración de Justicia
40,2013,11,Política Territorial e Interior,Política Territorial e Interior
41,2013,1100,Ingresos Política Territorial e Interior,Ingresos Política Territorial e Interior
42,2013,11000,Ingresos Política Territorial e Interior,Ingresos Política Territorial e Interior
43,2013,1101,S.G.T. de Polít.Territorial e Interior,S.G.T. de Polít.Territorial e Interior
44,2013,11010,S.G.T. de Polít.Territorial e Interior,S.G.T. de Polít.Territorial e Interior
45,2013,1103,D.G. de Administración Local,D.G. de Administración Local
46,2013,11030,D.G. de Administración Local,D.G. de Administración Local
47,2013,1104,D.G. de Ordenación del Territorio,D.G. de Ordenación del Territorio
48,2013,11040,D.G. de Ordenación del Territorio,D.G. de Ordenación del Territorio
49,2013,1105,Dirección General de Interior,Dirección General de Interior
50,2013,11050,Dirección General de Interior,Dirección General de Interior
51,2013,1106,Delegación Territorial de Huesca,Delegación Territorial de Huesca
52,2013,11060,Delegación Territorial de Huesca,Delegación Territorial de Huesca
53,2013,1107,Delegación Territorial de Teruel,Delegación Territorial de Teruel
54,2013,11070,Delegación Territorial de Teruel,Delegación Territorial de Teruel
55,2013,12,Hacienda y Administración Pública,Hacienda y Administración Pública
56,2013,1200,Ingresos de Hacienda y Adm. Pública,Ingresos de Hacienda y Adm. Pública
57,2013,12000,Ingresos de Hacienda y Adm. Pública,Ingresos de Hacienda y Adm. Pública
58,2013,1201,S.G.T. de Hacienda y Administ. Pública,S.G.T. de Hacienda y Administ. Pública
59,2013,12010,S.G.T. de Hacienda y Administ. Pública,S.G.T. de Hacienda y Administ. Pública
60,2013,1202,"D.G. Presupuestos,Financiación,Tesorería","D.G. Presupuestos,Financiación,Tesorería"
61,2013,12020,"DG Presupuestos,Financiación y Tesorería","DG Presupuestos,Financiación y Tesorería"
62,2013,1203,"D.G. Contratación, Patrimonio y Organiz.","D.G. Contratación, Patrimonio y Organiz."
63,2013,12030,"D.G. Contratación, Patrimonio y Organiz.","D.G. Contratación, Patrimonio y Organiz."
64,2013,1204,Intervención General,Intervención General
65,2013,12040,Intervención General,Intervención General
66,2013,1205,Dirección General de Tributos,Dirección General de Tributos
67,2013,12050,Dirección General de Tributos,Dirección General de Tributos
68,2013,1206,D.G. Función Pública y Calidad de Serv.,D.G. Función Pública y Calidad de Serv.
69,2013,12060,D.G. Función Pública y Calidad de Serv.,D.G. Función Pública y Calidad de Serv.
70,2013,12080,D.G. Asuntos Europeos y Acción Exterior,D.G. Asuntos Europeos y Acción Exterior
71,2013,1250,Ingresos de Secciones Presupuestarias,Ingresos de Secciones Presupuestarias
72,2013,12500,Ingresos de Secciones Presupuestarias,Ingresos de Secciones Presupuestarias
73,2013,1251,Ingresos Servicio Provincial de Zaragoza,Ingresos Servicio Provincial de Zaragoza
